cve_id,component,severity,cvss_vector,cvss_version,base_score,AV,AC,PR,UI,S,C,I,A
CVE-2024-0082,ChatRTX,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H,3.1,8.1,L,L,L,R,C,H,H,H
CVE-2024-10707,Chuanhugpt,中等,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,3.0,6.4,N,L,L,N,U,H,N,N
CVE-2024-10955,Chuanhugpt,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.0,6.4,N,L,L,N,U,N,N,H
CVE-2024-2217,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.0,7.5,N,L,N,N,U,H,N,N
CVE-2024-3402,Chuanhugpt,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:N/A:N,3.0,6.8,N,L,L,R,C,H,N,N
CVE-2024-3404,Chuanhugpt,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,3.0,6.4,N,L,L,N,U,H,N,N
CVE-2024-4321,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.0,7.5,N,L,N,N,U,H,N,N
CVE-2024-4520,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.0,7.5,N,L,N,N,U,H,N,N
CVE-2024-48059,Chuanhugpt,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1,6.0,N,L,N,R,C,L,L,N
CVE-2024-5124,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.0,7.5,N,L,N,N,U,H,N,N
CVE-2024-5278,Chuanhugpt,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,3.0,6.4,N,L,N,R,U,H,N,N
CVE-2024-5823,Chuanhugpt,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,3.0,6.4,N,L,N,N,U,N,L,L
CVE-2024-5982,Chuanhugpt,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,3.1,9.1,N,L,N,N,U,N,H,H
CVE-2024-6035,Chuanhugpt,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:N,3.0,9.3,N,L,N,R,C,H,H,N
CVE-2024-6036,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0,7.5,N,L,N,N,U,N,N,H
CVE-2024-6037,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0,7.5,N,L,N,N,U,N,N,H
CVE-2024-6038,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0,7.5,N,L,N,N,U,N,N,H
CVE-2024-6090,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0,7.5,N,L,N,N,U,N,N,H
CVE-2024-6255,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:H,3.0,8.1,N,L,N,N,U,N,L,H
CVE-2024-7807,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0,7.5,N,L,N,N,U,N,N,H
CVE-2024-7962,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.0,7.5,N,L,N,N,U,H,N,N
CVE-2024-8143,Chuanhugpt,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,3.0,6.4,N,L,L,N,U,H,N,N
CVE-2024-8400,Chuanhugpt,中等,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,3.0,5.4,N,L,L,R,C,L,L,N
CVE-2024-8613,Chuanhugpt,高,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,3.0,8.0,N,L,L,N,U,H,H,N
